year,region,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,total christians,judorth,jdcons,judref,judothr,total jews,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,total muslims,budmah,budthr,budothr,total buddhists,total zoroastrains/parsis,total hindus,total sikhs,total shinto,total baha'i,total taoists,total jains,total confucists,total syncretics,total animists,non religious,other religions,sum of religious adherents,population in independent states,worldpop,version
1955.00,Europe,85570895.00,223576835.00,96120344.00,29306649.00,6597713.00,441172436.00,0.00,0.00,0.00,5178671.00,5178671.00,0.00,0.00,0.00,0.00,0.00,0.00,33390170.00,33390170.00,0.00,0.00,806776.00,806776.00,0.00,93684.00,57446.00,0.00,15068.00,0.00,1375.00,0.00,26391.00,1189903.00,118537427.00,3246653.00,485178573.00,603716000.00,2536000000.00,1.10
1955.00,Mideast,32782.00,1740329.00,3202941.00,0.00,678049.00,5654101.00,1509000.00,9001.00,6001.00,442397.00,1966399.00,70224037.00,23256503.00,0.00,0.00,445582.00,0.00,27552.00,93953674.00,0.00,0.00,0.00,0.00,14180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5588.00,0.00,270.00,1135788.00,102729730.00,102730000.00,2536000000.00,1.10
1955.00,West. Hem,87090264.00,213452184.00,3811061.00,4292907.00,2624418.00,311270834.00,987432.00,1644006.00,2219240.00,791645.00,5642323.00,0.00,0.00,0.00,0.00,0.00,0.00,2730.00,2730.00,0.00,0.00,613095.00,613095.00,0.00,1003.00,5000.00,0.00,500.00,0.00,0.00,171199.00,6898286.00,250001.00,23641928.00,15490767.00,340345738.00,358220000.00,2536000000.00,1.10
1960.00,Africa,13038381.00,14074508.00,8239314.00,3033366.00,23172234.00,61557803.00,0.00,0.00,0.00,138994.00,138994.00,4990792.00,0.00,0.00,0.00,0.00,0.00,37917444.00,42908236.00,0.00,0.00,3416.00,3416.00,0.00,363925.00,2971.00,0.00,157462.00,0.00,0.00,0.00,4646.00,42355767.00,265053.00,1047727.00,148540947.00,148806000.00,2921000000.00,1.10
1960.00,Asia,17884779.00,41601765.00,1518027.00,4071747.00,9108298.00,74184616.00,0.00,0.00,0.00,80005.00,80005.00,9537389.00,1000000.00,0.00,0.00,0.00,0.00,229633620.00,240171009.00,0.00,16766250.00,179897730.00,196663980.00,170443.00,360471285.00,7980296.00,71357167.00,899468.00,1357348.00,2029510.00,3251560.00,317448262.00,89171314.00,278617080.00,2879327.00,1368115590.00,1594029976.00,2921000000.00,1.10
1960.00,Europe,86615387.00,232373678.00,102354051.00,29372814.00,7610228.00,458326158.00,0.00,0.00,0.00,5068023.00,5068023.00,0.00,0.00,0.00,0.00,0.00,0.00,35477503.00,35477503.00,0.00,0.00,853421.00,853421.00,0.00,142373.00,104871.00,0.00,21419.00,0.00,2250.00,0.00,37975.00,1141720.00,133709658.00,4580629.00,505756342.00,639466000.00,2921000000.00,1.10
1960.00,Mideast,23416.00,1627382.00,2292182.00,0.00,1530960.00,5473940.00,1794474.00,10875.00,7250.00,322686.00,2135285.00,89797203.00,26174803.00,0.00,0.00,521848.00,0.00,20950.00,116514804.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200000.00,0.00,0.00,0.00,0.00,2800000.00,277.00,1762694.00,128886723.00,128887000.00,2921000000.00,1.10
1960.00,West. Hem,102731807.00,252280539.00,3864535.00,5368773.00,3179424.00,367425078.00,1024373.00,1706028.00,2293155.00,1282993.00,6306549.00,0.00,0.00,0.00,0.00,0.00,0.00,51536.00,51536.00,0.00,0.00,2918342.00,2918342.00,0.00,191584.00,0.00,0.00,0.00,0.00,0.00,342398.00,7525200.00,300000.00,22037603.00,8634058.00,393694745.00,409598148.00,2921000000.00,1.10
1965.00,Africa,20608952.00,28626956.00,9117352.00,5727195.00,34020771.00,98101226.00,0.00,0.00,0.00,147929.00,147929.00,6027156.00,0.00,0.00,0.00,0.00,0.00,50640232.00,56667388.00,0.00,0.00,4572.00,4572.00,324.00,548874.00,25853.00,0.00,557883.00,0.00,28913.00,0.00,14203.00,61942649.00,354423.00,1570763.00,219610577.00,219965000.00,3280000000.00,1.10
1965.00,Asia,21008991.00,48324442.00,1857898.00,4513000.00,9780318.00,85484649.00,0.00,0.00,0.00,79304.00,79304.00,10805320.00,1020000.00,0.00,0.00,0.00,0.00,263388381.00,275213701.00,0.00,18305680.00,191365422.00,209671102.00,138682.00,396909711.00,8717537.00,74982591.00,1046723.00,1702647.00,2309710.00,4065157.00,350788060.00,94583167.00,305127190.00,18999278.00,1524692019.00,1772609960.00,3280000000.00,1.10
1965.00,Europe,87270229.00,243240445.00,107031360.00,29346138.00,9288584.00,476176756.00,0.00,0.00,0.00,4983768.00,4983768.00,0.00,0.00,0.00,0.00,0.00,0.00,36814738.00,36814738.00,0.00,0.00,900068.00,900068.00,0.00,191110.00,152295.00,0.00,28308.00,0.00,3125.00,0.00,49559.00,1093535.00,147965351.00,7956387.00,528349649.00,676315000.00,3280000000.00,1.10
1965.00,Mideast,31888.00,2864431.00,2592130.00,38500.00,527560.00,6054509.00,2247102.00,13618.00,9079.00,355314.00,2625113.00,112360336.00,16077714.00,40000.00,0.00,598115.00,0.00,16772097.00,145848262.00,0.00,0.00,0.00,0.00,9938.00,0.00,0.00,0.00,17627.00,0.00,0.00,0.00,0.00,2995006.00,47680.00,2156865.00,159707320.00,159755000.00,3280000000.00,1.10
1965.00,West. Hem,105517643.00,291058747.00,5355754.00,5461806.00,1502696.00,408896646.00,1048530.00,1746727.00,2338997.00,1283311.00,6417565.00,0.00,0.00,0.00,0.00,0.00,0.00,89968.00,89968.00,0.00,0.00,2017642.00,2017642.00,0.00,213487.00,0.00,0.00,8350.00,2000.00,0.00,376219.00,7993000.00,279349.00,20603206.00,10476376.00,436770602.00,450956507.00,3280000000.00,1.10
1970.00,Africa,25615793.00,38089508.00,9726348.00,7268620.00,41386699.00,122086968.00,0.00,0.00,0.00,151537.00,151537.00,7474780.00,0.00,0.00,0.00,0.00,0.00,59343505.00,66818285.00,0.00,0.00,11299.00,11299.00,472.00,991566.00,26094.00,0.00,701507.00,0.00,32861.00,0.00,17679.00,63335604.00,446303.00,916825.00,255090697.00,255537000.00,3655000000.00,1.10
1970.00,Asia,23692514.00,54128278.00,2196653.00,4894990.00,17824360.00,102736795.00,0.00,0.00,0.00,78269.00,78269.00,11703860.00,1268900.00,0.00,0.00,0.00,0.00,305478789.00,318451549.00,0.00,20862636.00,205627244.00,226489880.00,106789.00,448086953.00,10441204.00,79155350.00,1177687.00,1965466.00,2590921.00,4878755.00,370782297.00,98686228.00,398889032.00,11119903.00,1676748046.00,2013375984.00,3655000000.00,1.10
1970.00,Europe,87380610.00,248209651.00,112215607.00,29225607.00,11248267.00,488279742.00,0.00,0.00,0.00,4883835.00,4883835.00,0.00,0.00,0.00,0.00,0.00,0.00,38264883.00,38264883.00,0.00,0.00,955963.00,955963.00,410.00,242896.00,199719.00,0.00,49039.00,0.00,4000.00,1004.00,62146.00,1047415.00,162011668.00,7126528.00,541117580.00,703129248.00,3655000000.00,1.10
1970.00,Mideast,36181.00,2696173.00,4103446.00,87580.00,1340824.00,8264204.00,2517669.00,15258.00,10172.00,41135.00,2584234.00,132085364.00,35303241.00,374000.00,0.00,700450.00,0.00,27000.00,168490055.00,0.00,0.00,0.00,0.00,0.00,7470.00,0.00,0.00,96033.00,0.00,0.00,0.00,0.00,3326100.00,153410.00,1554494.00,184322590.00,184476000.00,3655000000.00,1.10
1970.00,West. Hem,111207132.00,327882930.00,6353581.00,4603045.00,5191279.00,455237967.00,1146052.00,1908728.00,2564626.00,1516128.00,7135534.00,0.00,0.00,0.00,0.00,0.00,0.00,317516.00,317516.00,0.00,0.00,1345492.00,1345492.00,0.00,495604.00,19615.00,1000.00,270712.00,15800.00,980.00,407172.00,8294607.00,613877.00,27337768.00,5541211.00,479697087.00,498934000.00,3655000000.00,1.10
1975.00,Africa,31997004.00,52803680.00,12815275.00,8543658.00,49058004.00,155217621.00,0.00,0.00,0.00,178015.00,178015.00,8749390.00,0.00,0.00,0.00,0.00,0.00,71486936.00,80236326.00,0.00,0.00,19123.00,19123.00,419.00,1112884.00,28132.00,0.00,854583.00,0.00,37726.00,3230.00,22758.00,64493395.00,930997.00,1808791.00,304013003.00,304944000.00,4023000000.00,1.10
1975.00,Asia,33137903.00,62221703.00,2181466.00,5038932.00,33485408.00,136065411.00,0.00,0.00,0.00,158067.00,158067.00,79435094.00,1557800.00,0.00,0.00,0.00,0.00,267723211.00,348716105.00,0.00,22929200.00,235072380.00,258001580.00,163963.00,486416662.00,12236052.00,85416048.00,1410128.00,2845907.00,2898371.00,5167140.00,363792820.00,99482806.00,476180772.00,6244193.00,1809015253.00,2217498000.00,4023000000.00,1.10
1975.00,Europe,86306803.00,254101668.00,111135093.00,28854249.00,12430347.00,492828160.00,0.00,0.00,0.00,4711084.00,4711084.00,0.00,0.00,0.00,0.00,0.00,0.00,39403622.00,39403622.00,0.00,0.00,1008216.00,1008216.00,448.00,347975.00,204859.00,0.00,53174.00,0.00,5883.00,2753.00,62559.00,759215.00,177802241.00,11223811.00,550611759.00,728414000.00,4023000000.00,1.10
