year,region,chrstprot,chrstcat,chrstorth,chrstang,chrstothr,total christians,judorth,jdcons,judref,judothr,total jews,islmsun,islmshi,islmibd,islmnat,islmalw,islmahm,islmothr,total muslims,budmah,budthr,budothr,total buddhists,total zoroastrains/parsis,total hindus,total sikhs,total shinto,total baha'i,total taoists,total jains,total confucists,total syncretics,total animists,non religious,other religions,sum of religious adherents,population in independent states,worldpop,version
1995.00,Mideast,1011208.00,5202572.00,8372389.00,417230.00,2020163.00,17023562.00,4140045.00,227475.00,181980.00,88874.00,4638374.00,241259390.00,86131745.00,1229556.00,0.00,11824580.00,0.00,250400.00,340695671.00,0.00,0.00,0.00,0.00,472500.00,4791.00,1166.00,0.00,278675.00,0.00,0.00,0.00,0.00,3534249.00,323129.00,7143883.00,373792871.00,374116000.00,5670000000.00,1.10
1995.00,West. Hem,167722189.00,484088201.00,7364578.00,7948471.00,14691480.00,681814919.00,1003301.00,1672940.00,2210662.00,1665209.00,6552112.00,2246832.00,303545.00,0.00,0.00,0.00,0.00,438123.00,2988500.00,0.00,0.00,2182414.00,2182414.00,765727.00,1481887.00,245269.00,60945.00,757649.00,237633.00,6684.00,40478.00,10533280.00,981414.00,46460699.00,9375141.00,718024052.00,754990021.00,5670000000.00,1.10
2000.00,Africa,93403462.00,119734890.00,28207100.00,32521170.00,62890027.00,336756649.00,0.00,0.00,0.00,104482.00,104482.00,178749834.00,9545726.00,0.00,0.00,0.00,0.00,207762.00,188503322.00,0.00,0.00,142869.00,142869.00,845.00,1902086.00,53080.00,0.00,1083236.00,0.00,69013.00,0.00,77232.00,78607573.00,5809663.00,5854951.00,613155338.00,618965000.00,6077000000.00,1.10
2000.00,Asia,99313991.00,111594438.00,10333466.00,5166213.00,30483936.00,256892044.00,0.00,0.00,0.00,148450.00,148450.00,622088650.00,51736919.00,0.00,0.00,0.00,500000.00,23364060.00,697689629.00,4130422.00,113240351.00,264339459.00,381710232.00,84816.00,870077984.00,19356059.00,97027500.00,2148598.00,9749928.00,4231099.00,3735637.00,549045116.00,77705808.00,584748329.00,5859144.00,2975462044.00,3488405040.00,6077000000.00,1.10
2000.00,Europe,69356298.00,252170341.00,209425163.00,22751244.00,17404399.00,571107445.00,0.00,0.00,0.00,2243767.00,2243767.00,36589221.00,5201755.00,0.00,0.00,0.00,0.00,5938865.00,47729841.00,0.00,0.00,3099355.00,3099355.00,4782.00,764336.00,396383.00,0.00,77628.00,36.00,15296.00,0.00,129943.00,78139.00,113729094.00,6220838.00,631867789.00,745596883.00,6077000000.00,1.10
2000.00,Mideast,1320096.00,5009970.00,9124040.00,9467.00,1215280.00,16678853.00,4471831.00,245705.00,196564.00,41977.00,4956077.00,275058426.00,87053540.00,1360367.00,0.00,12568650.00,36000.00,0.00,376076983.00,0.00,0.00,88823.00,88823.00,445000.00,1141268.00,15420.00,0.00,142471.00,0.00,0.00,0.00,0.00,5898000.00,1775785.00,2563620.00,408006515.00,409782300.00,6077000000.00,1.10
2000.00,West. Hem,180216747.00,490124294.00,7266522.00,7843167.00,24037463.00,709488193.00,961597.00,1603882.00,2110338.00,1317719.00,5993536.00,2501568.00,334752.00,0.00,0.00,0.00,0.00,1212145.00,4048465.00,808358.00,0.00,2406419.00,3214777.00,1468955.00,1720060.00,232021.00,161765.00,628141.00,50238.00,6959.00,81105.00,13592264.00,4457945.00,76349251.00,13043974.00,758188398.00,823033224.00,6077000000.00,1.10
2005.00,Africa,113662262.00,143240680.00,32751099.00,34399221.00,72948696.00,397001958.00,0.00,0.00,0.00,105776.00,105776.00,202118074.00,10758965.00,0.00,0.00,0.00,0.00,248681.00,213125720.00,0.00,0.00,182161.00,182161.00,838.00,2118924.00,61177.00,0.00,1082939.00,31.00,73053.00,10004.00,84834.00,79035014.00,7178005.00,3562566.00,696444995.00,703623000.00,6436000000.00,1.10
2005.00,Asia,102910261.00,121326959.00,9704939.00,5492661.00,35840274.00,275275093.00,0.00,0.00,0.00,127286.00,127286.00,659270884.00,53399804.00,0.00,0.00,0.00,543367.00,36207787.00,749421842.00,13240607.00,156829163.00,296031348.00,466101118.00,91049.00,940599251.00,20940691.00,107029655.00,2306979.00,12228350.00,4574392.00,3751375.00,555845044.00,79217233.00,524304023.00,11552004.00,3229061362.00,3666155352.00,6436000000.00,1.10
2005.00,Europe,68977106.00,249539088.00,195164244.00,21378217.00,24278988.00,559337643.00,0.00,0.00,0.00,2123463.00,2123463.00,39933303.00,6691863.00,0.00,0.00,410000.00,0.00,4195351.00,51230517.00,0.00,0.00,3059535.00,3059535.00,5105.00,996551.00,412726.00,0.00,61087.00,2178.00,17648.00,0.00,426992.00,186360.00,114977698.00,11924097.00,629783902.00,744761600.00,6436000000.00,1.10
2005.00,Mideast,1798732.00,4861634.00,9773642.00,10740.00,1792749.00,18237497.00,5222943.00,31654.00,21102.00,33726.00,5309425.00,297361142.00,93682310.00,1415383.00,0.00,15583460.00,0.00,112400.00,408154695.00,0.00,0.00,105908.00,105908.00,19500.00,1454979.00,17500.00,0.00,152950.00,0.00,0.00,0.00,0.00,7079400.00,2652435.00,2774564.00,443306418.00,445958853.00,6436000000.00,1.10
2005.00,West. Hem,203594477.00,494915555.00,7730972.00,7756664.00,26881608.00,740879276.00,1048228.00,1747197.00,2321199.00,1487754.00,6604378.00,2944529.00,386845.00,0.00,0.00,0.00,0.00,1190198.00,4521572.00,858297.00,0.00,3810102.00,4668399.00,1559581.00,2191657.00,437055.00,191600.00,705878.00,64811.00,79864.00,89362.00,12979998.00,5830711.00,94709150.00,9231306.00,790035448.00,875196370.00,6436000000.00,1.10
2010.00,Africa,143752568.00,165943467.00,38254839.00,38701490.00,73353476.00,460005841.00,0.00,0.00,0.00,106121.00,106121.00,234059830.00,12052097.00,0.00,0.00,0.00,0.00,292545.00,246404472.00,0.00,0.00,224181.00,224181.00,951.00,2347387.00,74969.00,0.00,1183246.00,62.00,91857.00,20009.00,97374.00,77615288.00,8889456.00,2431187.00,790602945.00,799492401.00,6839000000.00,1.10
2010.00,Asia,109770301.00,129766537.00,9690172.00,5059090.00,33635763.00,287921863.00,0.00,0.00,0.00,123356.00,123356.00,707062171.00,59850462.00,0.00,0.00,0.00,500000.00,37344203.00,804756836.00,14043532.00,165612816.00,299264578.00,478920926.00,94666.00,1008830303.00,22509620.00,108029951.00,2580737.00,9860014.00,4915980.00,3873075.00,578913544.00,81146609.00,541453380.00,7479196.00,3399956676.00,3857553138.00,6839000000.00,1.10
2010.00,Europe,65717165.00,244246870.00,201589183.00,19997856.00,26126910.00,557677984.00,0.00,0.00,0.00,1378063.00,1378063.00,36050392.00,8609112.00,0.00,0.00,500000.00,0.00,6063207.00,51222711.00,0.00,0.00,1556416.00,1556416.00,4404.00,1125071.00,490470.00,0.00,48120.00,4320.00,20000.00,0.00,548795.00,232716.00,130820732.00,8937855.00,623246925.00,754067657.00,6839000000.00,1.10
2010.00,Mideast,2115645.00,5126980.00,10901720.00,16767.00,1652685.00,19813797.00,5517567.00,33439.00,22293.00,31200.00,5604499.00,340953009.00,102299489.00,1606195.00,0.00,3608974.00,0.00,152400.00,448620067.00,0.00,0.00,142503.00,142503.00,0.00,2284384.00,19000.00,0.00,362367.00,0.00,0.00,0.00,0.00,8025046.00,3612800.00,2808574.00,487680237.00,491293037.00,6839000000.00,1.10
2010.00,West. Hem,236474406.00,504625969.00,8347937.00,7995216.00,29049940.00,786493468.00,1119839.00,1866128.00,2487367.00,1337936.00,6811270.00,3079377.00,407770.00,0.00,0.00,0.00,0.00,991533.00,4478680.00,908236.00,0.00,3494675.00,4402911.00,1651017.00,2755503.00,682441.00,313241.00,665592.00,15481.00,87304.00,94453.00,10970832.00,7244680.00,103547575.00,4916120.00,831582993.00,928209348.00,6839000000.00,1.10
